hierarchyId	pCFID	name	verb	object	filePath
8.7.6.7	20912	Monitor IT infrastructure security	Monitor	IT Infrastructure Security	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.6-DevelopAndManageServiceDeliveryOperations/20912-MonitorItInfrastructureSecurity.mdx
8.7.6.8	20913	Manage IT infrastructure/data recovery	Manage	IT Infrastructure/data Recovery	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.6-DevelopAndManageServiceDeliveryOperations/20913-ManageItInfrastructureDataRecovery.mdx
8.7.7	20914	Manage infrastructure resource administration	Manage	Infrastructure Resource Administration	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.7-ManageInfrastructureResourceAdministration/index.mdx
8.7.7.1	20915	Manage infrastructure configuration	Manage	Infrastructure Configuration	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.7-ManageInfrastructureResourceAdministration/20915-ManageInfrastructureConfiguration.mdx
8.7.7.2	20916	Perform infrastructure component maintenance	Perform	Infrastructure Component Maintenance	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.7-ManageInfrastructureResourceAdministration/20916-PerformInfrastructureComponentMaintenance.mdx
8.7.7.3	20917	Install/configure/upgrade infrastructure components	Install/configure/upgrade	Infrastructure Components	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.7-ManageInfrastructureResourceAdministration/20917-InstallConfigureUpgradeInfrastructureComponents.mdx
8.7.7.4	20918	Maintain IT asset records	Maintain	IT Asset Records	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.7-ManageInfrastructureResourceAdministration/20918-MaintainItAssetRecords.mdx
8.7.7.5	20919	Administer IT licenses/user agreements	Administer	IT Licenses/user Agreements	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.7-ManageInfrastructureResourceAdministration/20919-AdministerItLicensesUserAgreements.mdx
8.7.7.6	20920	Provide IT infrastructure service and capabilities	Provide	IT Infrastructure Service And Capabilities	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.7-ManageInfrastructureResourceAdministration/20920-ProvideItInfrastructureServiceAndCapabilities.mdx
8.7.8	20921	Operate IT user support	Operate	IT User Support	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.8-OperateItUserSupport/index.mdx
8.7.8.1	20922	Triage IT issues/requests	Triage	IT Issues/requests	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.8-OperateItUserSupport/20922-TriageItIssuesRequests.mdx
8.7.8.2	20923	Provide IT resolution capabilities	Provide	IT Resolution Capabilities	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.8-OperateItUserSupport/20923-ProvideItResolutionCapabilities.mdx
8.7.8.3	20925	Manage IT user requests	Manage	IT User Requests	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.8-OperateItUserSupport/20925-ManageItUserRequests.mdx
8.7.8.4	20926	Escalate IT requests	Escalate	IT Requests	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.8-OperateItUserSupport/20926-EscalateItRequests.mdx
8.7.8.5	20927	Resolve IT issues/requests	Resolve	IT Issues/requests	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.8-OperateItUserSupport/20927-ResolveItIssuesRequests.mdx
8.7.8.6	20928	Execute IT continuity and recovery action	Execute	IT Continuity And Recovery Action	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.8-OperateItUserSupport/20928-ExecuteItContinuityAndRecoveryAction.mdx
